MODE,TS,TG,
DMR,2,91,Worldwide – YSF 00091
DMR,2,907,XLX005 J – JOTA JOTI YOTA - YSF 00907 Website
DMR,2,971,JOTA JOTI YOTA TG's Website
DMR,2,972,JOTA JOTI YOTA TG's Website
DMR,2,973,JOTA JOTI YOTA TG's Website
DMR,2,974,JOTA JOTI YOTA TG's Website
DMR,2,975,JOTA JOTI YOTA TG's Website
DMR,2,976,JOTA JOTI YOTA TG's Website
DMR,2,977,JOTA JOTI YOTA TG's Website
DMR,2,978,JOTA JOTI YOTA TG's Website
DMR,2,910,German Language
DMR,2,913,English Language
DMR,2,914,Spanish Language
DMR,2,915,Portuguese Language
DMR,2,916,Italian Language
DMR,2,919,Polish Language
DMR,2,922,Dutch Language
DMR,2,924,Swedish Language
DMR,2,927,Nordic Language
DMR,2,928,Russian Language
DMR,2,937,French Language FRANCOPHONIE
DMR,2,940,Arabic Language
DMR,2,941,Mandarin Language
DMR,2,942,Hindi Language
DMR,2,943,Bengali Language
DMR,2,944,Japanese Language
DMR,2,945,Indonesian Language
DMR,2,950,Firefighters of the world
DMR,2,9541,RadHisTec
DMR,2,973,SOTA
DMR,2,,
DMR,2,202,National Greece <->YSF GR GREECE DV
DMR,2,2021,Area 1 National - Central Greece
DMR,2,2022,Area 2 National - Central & West Macedonia
DMR,2,2023,Area 3 National – Peloponnese
DMR,2,2024,Area 4 National – Thessaly
DMR,2,2025,Area 5 National - Dodecanese Islands
DMR,2,2026,Area 6 National - Epirus
DMR,2,2027,Area 7 National - Thrace and East Macedonia
DMR,2,2028,Area 8 National - All Greek islands
DMR,2,,(except the Dodecanese Islands and Crete Island)
DMR,2,2029,Area 9 <->YSF GR CRETE DV
DMR,2,20201,Hellenic Tech 1
DMR,2,20202,DMR+ National Greece
DMR,2,20231,PATRAS Group
DMR,2,20241,Trikala Greece
DMR,2,20261,Ioannina Greece
DMR,2,20281,Corfu island <->YSF GR KERKYRA DV
DMR,2,,
DMR,2,204,Nederlands-National
DMR,2,20400,Nederlands-Gateway
DMR,2,20401,Nederlands-Drenthe
DMR,2,20402,Nederlands-Flevoland
DMR,2,20403,Nederlands-Friesland
DMR,2,20404,Nederlands-Gelderland
DMR,2,20405,Nederlands-Groningen
DMR,2,20406,Nederlands-Limburg
DMR,2,20407,Nederlands-Noord Brabant
DMR,2,20408,Nederlands-Noord Holland
DMR,2,20409,Nederlands-Overijssel
DMR,2,20410,Nederlands-Zuid Holland
DMR,2,20411,Nederlands-Utrecht
DMR,2,204112,Nederlands-Emergency
DMR,2,,
DMR,2,206,Belgium-National
DMR,2,2061,Belgium-North
DMR,2,2062,Belgium-South
DMR,2,2063,Belgium-East
DMR,2,2064,Belgium-On Demand
DMR,2,2065,Belgium-On Demand
DMR,2,2066,Belgium-On Demand
DMR,2,2067,Belgium-On Demand
DMR,2,2068,Belgium-On Demand
DMR,2,2069,Belgium-On Demand
DMR,2,20600,Belgium-Liege
DMR,2,20601,Belgium-Namur
DMR,2,20602,Belgium-Luxembourg
DMR,2,20603,Belgium-Hainaut
DMR,2,20604,Belgium-Brussels
DMR,2,20605,Belgium-Brabant Wallon
DMR,2,20606,Belgium-Vlaams Brabant
DMR,2,20607,Belgium-Limburg
DMR,2,20608,Belgium-Antwerpen
DMR,2,20609,Belgium-O.Vlanderen
DMR,2,20610,Belgium-W.Vlanderen
DMR,2,206112,Belgium-Emergency
DMR,2,,
DMR,2,208,France DMR+
DMR,2,2081,France IDF
DMR,2,2082,France Sud-Est
DMR,2,2083,France
DMR,2,2084,France Est
DMR,2,2085,France
DMR,2,2086,France
DMR,2,2087,France
DMR,2,2088,France
DMR,2,2089,Dom Tom
DMR,2,20800,YSF-France 58617
DMR,2,20811,Corse DMR+
DMR,2,20820,Corse / XLX255 K
DMR,2,20833,Gironde
DMR,2,20844,Loire-Atlanique
DMR,2,20853,Mayenne
DMR,2,20857,Moselle
DMR,2,20866,Pyreness-Onrientales
DMR,2,20867,Bas-Rhin
DMR,2,20871,Saone-et-Loire
DMR,2,20878,Yvelines
DMR,2,20887,Linousin
DMR,2,20895,Val d''Oise'
DMR,2,208000,YSF France-Wide 64879
DMR,2,,
DMR,2,214,National (P)
DMR,2,2141,ZONE 1 EA
DMR,2,2142,ZONE 2 EA
DMR,2,2143,ZONE 3 EA
DMR,2,2144,ZONE 4 EA
DMR,2,2145,ZONE 5 EA
DMR,2,2146,ZONE 6 EA
DMR,2,2147,ZONE 7 EA
